messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,17,34664,1.6,179.921,270,15.45,-0.1
2,13,34740,8,45.6478,270,14.4,0.8
2,7,34740,25.9585,-8,180,15.1,-0.1
2,2,34735,-8,-110.17,90,13.31,0
2,1,34740,-8,-24.2593,90,9.34,-4.4
2,15,34772,8,149.387,270,12.59,0.1
2,16,34825,8,169.411,270,12.73,-0.7
2,14,34837,8,128.488,270,12.57,-0.4
2,4,34844,-1.6,-153.209,90,14.59,-0.4
2,3,34844,-1.6,-68.8782,90,16.71,-0.2
2,20,34908,-76.367,8,0,14.64,-0.2
2,1,34940,-8,-22.4847,90,8.44,-4.4
2,17,34964,1.6,175.282,270,15.46,-0.1
2,13,35040,8,41.3288,270,14.39,-0.2
2,7,35040,21.4245,-8,180,15.11,0
2,4,35144,-1.6,-148.828,90,14.6,0.2
2,3,35144,-1.6,-63.861,90,16.71,-0.2
2,2,35135,-8,-104.845,90,13.3,0
2,1,35140,-8,-20.89,90,7.54,-4.4
2,15,35172,8,144.352,270,12.58,0.6
2,20,35208,-71.9739,8,0,14.64,-0.3
2,16,35225,8,164.322,270,12.71,-1.2
2,14,35237,8,123.457,270,12.58,0.1
2,17,35264,1.6,170.644,270,15.45,0.1
2,13,35340,8,37.0144,270,14.22,-4.4
2,1,35340,-8,-19.4753,90,6.64,-4.4
2,7,35340,16.89,-8,180,15.12,0.2
2,3,35444,-1.6,-58.8435,90,16.72,0.5
2,4,35444,-1.6,-144.447,90,14.6,-0.8
2,20,35508,-67.5807,8,0,14.64,0.7
2,2,35535,-8,-99.5194,90,13.31,-0.5
2,13,35540,8,34.2642,270,13.32,-4.4
2,1,35540,-8,-18.2406,90,5.74,-4.4
2,17,35564,1.6,166.006,270,15.45,-0.2
2,15,35572,8,139.317,270,12.57,-1
2,14,35637,8,118.425,270,12.58,0
2,7,35640,12.3554,-8,180,15.1,-0.2
2,16,35625,8,159.238,270,12.7,-0.1
2,3,35744,-1.6,-53.8261,90,16.72,0.3
2,13,35740,8,31.6937,270,12.42,-4.4
2,1,35740,-8,-17.186,90,4.84,-4.4
2,4,35744,-1.6,-140.066,90,14.6,-0.1
2,20,35808,-63.1877,8,0,14.64,0.2
2,17,35864,1.6,161.368,270,15.45,-0.5
2,13,35940,8,29.3032,270,11.52,-4.4
2,2,35935,-8,-94.1945,90,13.31,-0.4
2,1,35940,-8,-16.3113,90,3.94,-4.4
2,7,35940,7.82144,-8,180,15.11,-0.6
2,15,35972,8,134.281,270,12.58,0
2,16,36025,8,154.16,270,12.68,0
2,3,36044,-1.6,-48.8087,90,16.72,-0.1
2,14,36037,8,113.394,270,12.57,-0.5
2,4,36044,-1.6,-135.686,90,14.6,0.5
2,20,36108,-58.795,8,0,14.63,-0.2
2,13,36140,8,27.0928,270,10.62,-4.4
2,1,36140,-8,-15.6166,90,3.04,-4.4
2,17,36164,1.6,156.731,270,15.45,-1
2,7,36240,3.28705,-8,180,15.11,0.6
2,13,36340,8,25.0623,270,9.72,-4.4
2,2,36335,-8,-88.8693,90,13.3,-0.2
2,3,36344,-1.6,-43.8206,90,16.23,-4.5
2,1,36340,-8,-15.102,90,2.14,-4.4
2,4,36344,-1.6,-131.305,90,14.6,-0.3
2,15,36372,8,129.247,270,12.58,-0.4
2,20,36408,-54.4017,8,0,14.64,0.5
2,16,36425,8,149.085,270,12.68,0.4
2,14,36437,8,108.362,270,12.57,0.1
2,17,36464,1.6,152.093,270,15.45,-0.6
2,7,36540,-1.24729,-8,180,15.11,0.4
2,13,36540,8,23.2119,270,8.82,-4.4
2,3,36544,-1.6,-40.6674,90,15.33,-4.4
2,1,36540,-8,-14.7673,90,1.24,-4.4
2,4,36644,-1.6,-126.924,90,14.59,-0.3
2,5,36686,-8,-179.706,90,13.81,0.8
2,20,36708,-50.0085,8,0,14.64,0.3
2,13,36740,8,21.5413,270,7.92,-4.4
2,2,36735,-8,-83.5441,90,13.3,-0.1
2,3,36744,-1.6,-37.6941,90,14.43,-4.4
2,1,36740,-8,-14.6126,90,0.34,-4.4
2,17,36764,1.6,147.455,270,15.45,-0.2
